,id,name_x,artist_ids,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,title,rank,date,artist,region,streams,DATE,Year,name_y
352554,0C2YeGXjCRdZ8aXpcsuNQz,Deep End,"['5NipqMGsY4AUeb7kGT8aVz', '21dooacK2WGBB5amYvKyfM']",True,0.865,0.8320000000000001,-6.305,0.337,0.0959,0.0,0.103,0.6779999999999999,84.98899999999998,272847,2019,Deep End,55,2019-08-16,"kizaru, Smokepurpp",Latvia,1227.0,2019-08-16,2019,Deep End
352598,4UMnUuQ9cYTSdv9FNy9uWb,Tímida,"['6tzRZ39aZlNqlUzQlkuhDV', '23wEWD21D4TPYiJugoXmYb']",False,0.7979999999999999,0.818,-3.145,0.067,0.12,0.0,0.0737,0.8590000000000001,94.005,157282,2020,Tímida,30,2020-03-20,"Pabllo Vittar, Thalia",Brazil,244779.0,2020-03-20,2020,Tímida
352604,5VoY18OYEE2E6RJCBd2jki,Go Up,['3g7vYcdDXnqnDKYFwqXBJP'],False,0.7020000000000001,0.941,-2.293,0.0428,0.4,0.0,0.146,0.922,125.984,189048,2020,Go Up,116,2020-07-31,SB19,Philippines,31634.0,2020-07-31,2020,Go Up
352608,0LAh3hfeuUekvLm3Nq6MmA,Love Goes - EDM Version,['3g7vYcdDXnqnDKYFwqXBJP'],False,0.718,0.78,-4.142,0.0557,0.103,0.0,0.354,0.762,94.977,215000,2020,Love Goes - EDM Version,174,2020-07-31,SB19,Philippines,26320.0,2020-07-31,2020,Love Goes - EDM Version
352620,4h7qcXBtaOJnmrapxoWxGf,Isis (feat. Logic),"['6C1ohJrd5VydigQtaGy5Wa', '4xRYI6VqpkE3UwrDrAZL8L']",True,0.884,0.936,-3.931,0.1669999999999999,0.206,0.0,0.262,0.758,120.004,236501,2020,Isis (feat. Logic),194,2020-03-28,Joyner Lucas,United States,208588.0,2020-03-28,2020,Isis (feat. Logic)
352621,3mikf8qZaNp6wrrWxHgawH,Parabéns,"['6tzRZ39aZlNqlUzQlkuhDV', '20L3gYREq24KddkFreyiNv']",False,0.723,0.856,-5.596,0.0562,0.00687,2.48e-06,0.397,0.688,170.106,136844,2020,Parabéns,174,2020-05-01,"Pabllo Vittar, Psirico",Brazil,83234.0,2020-05-01,2020,Parabéns
352690,7vpGKEUPrA4UEsS4o4W1tP,Amor de Que,['6tzRZ39aZlNqlUzQlkuhDV'],False,0.737,0.8190000000000001,-5.056,0.0446,0.0726,0.0,0.36,0.904,139.988,157929,2020,Amor de Que,64,2020-05-01,Pabllo Vittar,Brazil,174085.0,2020-05-01,2020,Amor de Que
352875,2zz2r7yNbB2lS4xMmZnZiL,Clima Quente,"['6tzRZ39aZlNqlUzQlkuhDV', '6OpOg5HVCc8xVf7OVrd5Fk']",False,0.69,0.866,-3.96,0.0491,0.0787,1.59e-05,0.136,0.845,164.987,140856,2020,Clima Quente,39,2020-03-25,"Pabllo Vittar, Jerry Smith",Brazil,207443.0,2020-03-25,2020,Clima Quente
352885,23jEeXRyrjFbfs2Q8tBwdI,Physical (feat. Hwa Sa),"['6M2wZ9GZgrQXHCFfjv46we', '7bmYpVgQub656uNTu6qGNQ']",False,0.6609999999999999,0.873,-3.333,0.0482,0.0288,0.00164,0.136,0.687,146.94299999999996,193697,2020,Physical (feat. Hwa Sa),152,2020-04-01,Dua Lipa,Malaysia,6922.0,2020-04-01,2020,Physical (feat. Hwa Sa)
353007,25B5fGr9K0VdZJiRFsnMO4,Celebration Station,['4O15NlyKLIASxsJ0PrXPfz'],True,0.748,0.7709999999999999,-4.1560000000000015,0.15,0.1009999999999999,0.0,0.135,0.792,142.086,195058,2020,Celebration Station,186,2020-03-06,Lil Uzi Vert,Belgium,6332.0,2020-03-06,2020,Celebration Station
